FILE                                           	SEEING	
ATLAS_30p3_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.10  	
ATLAS_30p4_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.52  	
ATLAS_30p5_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.73  	
ATLAS_30p7_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.76  	
ATLAS_30p8_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.26  	
ATLAS_30p9_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.21  	
ATLAS_31p0_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.96  	
ATLAS_31p1_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.94  	
ATLAS_31p2_m30p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.73  	
ATLAS_31p2_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.01  	
ATLAS_31p4_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.15  	
ATLAS_31p5_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.46  	
ATLAS_31p6_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.73  	
ATLAS_31p9_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.22  	
ATLAS_31p9_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.71  	
ATLAS_329p1_m35p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.78  	
ATLAS_329p2_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.85  	
ATLAS_329p4_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.82  	
ATLAS_329p6_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.81  	
ATLAS_329p6_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.80  	
ATLAS_329p8_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.89  	
ATLAS_32p0_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.45  	
ATLAS_32p1_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.02  	
